t(s);d (m)
1032;200
1061;200
1086;199
1112;199
1137;199
1162;199
1186;199
1211;199
1236;199
1261;199
1286;199
1310;199
1335;199
1360;199
1385;199
1410;199
1434;199
1460;199
1484;199
1509;199
1533;199
1558;199
1584;199
1608;199
1633;199
1657;199
1683;199
1708;199
1732;199
1757;199
1781;199
1807;199
1831;199
1856;199
1881;199
1906;199
1931;199
1955;199
1980;199
2006;199
2030;199
2055;199
2080;199
2105;199
2129;199
2154;199
2179;199
2204;199
2229;199
2253;199
2278;199
2304;199
2328;200
2354;200
2378;199
2394;25
2409;20
2424;29
2439;19
2454;21
2468;21
2483;21
2498;31
2512;24
2528;25
2542;23
2557;22
2572;22
2586;25
2601;29
2617;26
2631;25
2647;27
2662;29
2676;25
2691;25
2706;24
2721;27
2736;27
2750;27
2765;23
2780;23
2794;23
2808;23
2823;23
2838;23
2852;24
2867;24
2881;25
2896;25
2911;25
2926;26
2940;27
2956;27
2970;28
2985;29
3001;39
3017;38
3033;33
3048;33
3062;33
3079;39
3094;37
3109;33
3125;36
3140;38
3155;35
3171;35
3186;38
3203;37
3218;37
3233;37
3249;38
3264;39
3280;39
3296;39
3311;40
3328;41
3343;41
3358;42
3375;43
3390;43
3406;43
3422;44
3438;44
3453;44
3469;45
3485;45
3501;45
3517;45
3532;45
3549;45
3564;45
3579;45
3596;45
3611;45
3628;45
3643;45
3658;45
3675;45
3690;46
3706;47
3723;47
3738;47
3755;49
3771;48
3787;51
3804;48
3820;50
3837;48
3854;48
3869;47
3886;50
3930;514
3946;46
3962;46
3979;45
3994;45
4009;45
4026;46
4042;46
4058;45
4074;46
4090;45
4106;45
4122;45
4137;45
4154;45
4169;45
4186;45
4201;45
4217;45
4233;45
4248;45
4264;45
4280;44
4295;44
4312;44
4327;44
4343;44
4359;43
4374;43
4390;43
4406;43
4421;42
4438;42
4453;42
4468;42
4484;42
4499;41
4515;41
4531;41
4546;41
4562;41
4578;41
4593;41
4609;41
4624;41
4639;41
4655;40
4671;41
4686;41
4702;41
4718;41
4733;41
4749;41
4764;41
4780;41
4795;41
4811;41
4827;41
4842;41
4857;41
4873;41
4888;41
4904;41
4920;41
4935;41
4951;41
4966;41
4982;41
4998;41
5013;41
5029;41
5045;41
5060;41
5075;41
5091;41
5106;41
5123;41
5138;41
5153;41
5169;41
5184;41
5199;41
5216;41
5231;41
5246;41
5262;41
5277;41
5294;41
5309;41
5324;41
5340;41
5355;41
5370;41
5387;41
5402;41
5417;41
5433;41
5448;41
5465;41
5480;41
5495;41
5511;41
5526;41
5542;41
5558;41
5573;41
5588;41
5604;41
5620;41
5636;41
5651;41
5666;41
5682;41
5697;41
5712;41
5729;41
5744;41
5760;41
5775;41
5790;41
5806;41
5822;41
5837;41
5853;41
5868;41
5883;41
5900;41
5915;41
5931;41
5946;41
5961;41
5978;41
5993;41
6008;41
6025;41
6040;41
6055;41
6071;41
6086;41
6102;41
6118;42
6133;42
6149;42
6165;42
6180;42
6196;42
6211;42
6227;42
6243;42
6258;42
6274;43
6290;43
6305;43
6321;43
6337;43
6352;44
6369;43
6384;44
6401;45
6417;44
6432;44
6449;45
6464;45
6480;45
6496;45
6511;45
6528;46
6544;46
6559;46
6575;46
6591;46
6606;46
6623;47
6639;47
6654;47
6671;47
6686;47
6703;47
6718;48
6734;48
6751;48
6766;47
6782;48
6799;48
6814;48
6831;48
6847;48
6862;48
6879;48
6894;49
6910;49
6927;49
6943;48
6959;49
6975;49
6991;49
7007;49
7024;49
7040;50
7057;50
7072;50
7089;50
7104;50
7120;50
7137;51
7153;50
7170;50
7186;50
7201;51
7219;51
7234;51
7250;51
7267;51
7282;51
7299;51
7315;51
7331;51
7348;51
7363;51
7379;51
7396;52
7412;52
7429;52
7445;52
7460;52
7477;52
7493;52
7510;52
7526;52
7541;52
7558;52
7574;52
7590;52
7607;52
7623;52
7639;52
7655;52
7671;52
7688;52
7703;51
7720;51
7736;50
7752;49
7769;48
7785;47
7801;45
7818;43
7833;41
7848;39
7865;36
7880;34
7895;30
7910;27
7925;24
7940;20
7954;16
7968;12
7983;9
7996;5
8010;1
8024;2
8037;1
8050;2
8094;514
8112;62
8130;63
8155;199
8180;199
8205;199
8230;199
8255;199
8280;199
8296;53
8322;199
8347;199
8372;199
8396;199
8422;199
8446;200
8472;200
8497;199
8522;199
8548;200
8573;200
8598;200
8623;200
8648;199
8674;199
8698;200
8724;200
8749;199
8774;199
8800;199
8824;199
8849;199
8873;199
8899;199
8924;199
8948;199
8973;199
8997;199
9023;199
9048;199
9073;199
9098;199
9122;199
9147;199
9171;199
9197;199
9222;199
9246;199
9271;199
9296;199
9321;199
9346;199
9370;199
9395;199
9420;199
9445;199
9469;199
9494;199
9520;199
9544;199
9569;200
9594;199
9620;199
9646;199
9670;199
9695;199
9710;46
9728;45
9744;45
9759;45
9775;45
9791;45
9806;45
9823;45
9838;45
9853;45
9870;45
9885;45
9901;45
9917;45
9932;46
9949;46
9964;47
9990;199
10015;199
