t (ms);d (cm)
24;201
54;201
83;201
113;201
143;202
174;201
203;201
234;201
264;201
294;201
324;202
355;201
385;201
414;201
445;201
475;201
505;201
535;201
566;201
595;201
626;201
656;201
686;202
716;201
746;202
777;201
796;19
816;19
834;18
854;18
872;18
891;17
911;17
929;16
949;16
967;14
986;13
1005;13
1024;12
1043;11
1061;10
1081;10
1099;9
1119;9
1137;8
1156;8
1174;8
1192;8
1211;8
1229;9
1248;9
1266;10
1286;10
1304;12
1324;12
1343;13
1362;14
1381;14
1400;14
1420;14
1439;15
1459;15
1477;15
1497;15
1516;15
1536;15
1555;15
1574;14
1593;14
1612;13
1632;13
1651;13
1670;12
1689;10
1708;11
1727;9
1745;8
1764;9
1782;6
1801;6
1819;6
1838;5
1856;5
1873;6
1892;6
1910;6
1929;8
1948;11
1967;9
1985;10
2004;11
2024;12
2042;13
2062;14
2081;15
2101;16
2120;17
2140;19
2159;20
2179;20
2198;20
2217;22
2238;22
2257;23
2277;23
2297;24
2317;25
2336;25
2357;25
2376;25
2397;25
2416;25
2437;26
2456;29
2487;202
2506;23
2527;21
2546;20
2566;19
2585;18
2605;17
2624;16
2642;14
2662;13
2681;11
2700;10
2719;10
2738;8
2756;7
2775;7
2793;6
2811;6
2830;6
2848;6
2867;6
2885;7
2904;7
2922;8
2940;9
2959;10
2978;10
2997;11
3016;12
3036;13
3054;14
3074;15
3093;15
3112;15
3132;15
3151;15
3171;16
3189;16
3209;14
3228;13
3248;13
3266;12
3286;13
3305;11
3323;10
3343;8
3361;7
3380;8
3398;7
3417;7
3435;8
3453;9
3472;9
3490;10
3510;11
3528;11
3548;11
3567;11
3586;11
3605;11
3624;11
3643;11
3662;13
3681;11
3700;10
3720;9
3738;8
3757;7
3775;7
3793;7
3811;6
3829;6
3848;6
3866;6
3885;7
3903;8
3922;10
3941;10
3960;11
3979;12
3998;13
4018;14
4037;15
4057;16
4076;18
4096;18
4115;18
4134;19
4154;19
4173;20
4193;21
4212;21
4233;22
4252;22
4272;23
4291;23
4312;22
4331;22
4350;22
4370;22
4390;21
4410;21
4429;21
4449;20
4468;20
4488;18
4507;17
4527;18
4546;15
4566;14
4584;14
4603;12
4623;14
4641;11
4661;8
4679;7
4698;7
4716;6
4734;6
4753;5
4770;5
4789;5
4807;6
4826;6
4844;7
4862;8
4881;9
4900;11
4919;12
4938;12
4958;14
4976;14
4996;16
5015;16
5035;17
5054;17
5073;19
5093;20
5112;20
5133;20
5152;19
5172;19
5191;19
5211;18
5230;17
5250;17
5269;16
5287;16
5307;14
5326;13
5346;12
5364;11
5384;10
5402;9
5421;8
5439;8
5457;7
5476;7
5494;6
5513;7
5531;8
5550;8
5568;8
5587;10
5606;10
5625;13
5644;12
5663;12
5683;12
5701;13
5721;13
5740;13
5760;12
5778;12
5797;12
5817;13
5835;13
5855;11
5874;9
5893;9
5911;8
5929;8
5948;7
5966;7
5985;8
6003;8
6022;10
6040;9
6060;9
6078;9
6096;9
6115;9
6133;9
6152;9
6170;9
6189;9
6207;9
6226;8
6245;7
6262;7
6281;7
6299;6
6318;6
6336;6
6354;6
6373;7
6391;7
6410;8
6428;10
6448;9
6466;10
6486;12
6504;12
6523;13
6543;14
6562;15
6582;16
6601;17
6621;18
6640;18
6660;19
6679;20
6699;21
6718;22
6737;23
6758;26
6777;24
6798;24
6817;25
6837;25
6857;25
6877;26
6897;27
6917;27
6937;27
6957;27
6977;27
6998;27
7017;27
7037;27
7057;27
7077;27
7097;28
7117;27
7137;28
7157;28
7178;29
7197;29
7218;30
7238;29
7258;30
7278;31
7299;30
7318;31
7339;31
7359;31
7379;32
7400;32
7419;33
7440;34
7460;34
7481;35
7501;35
7522;35
7542;35
7563;35
7583;35
7604;35
7624;35
7645;35
7665;34
7686;34
7706;33
7727;32
7747;32
7767;31
7787;30
7808;29
7827;29
7847;28
7867;27
7887;26
7907;25
7927;24
7947;23
7966;22
7986;20
8005;19
8025;17
8044;17
8064;16
8083;16
8102;15
8122;14
8140;12
8160;11
8179;10
8198;10
8217;10
8236;9
8254;9
8272;9
8292;10
8310;10
8330;10
8348;10
8368;10
8386;10
8406;10
8424;10
8443;11
8463;12
8481;14
8501;15
8520;15
8540;15
8559;16
8579;16
8598;16
8617;17
8637;16
8655;17
8675;16
8694;17
8714;17
8733;17
8753;16
8772;14
8792;14
8810;13
8829;12
8849;11
8867;11
8887;10
8906;10
8925;13
8944;9
8963;8
8981;8
8999;8
9018;8
9036;9
9055;10
9074;11
9093;12
9112;13
9132;14
9151;15
9170;16
9190;17
9209;18
9229;19
9248;20
9268;21
9287;23
9308;23
9327;26
9348;27
9367;27
9388;28
9407;28
9427;29
9448;30
9467;30
9488;31
9508;30
9528;31
9548;32
9569;32
9589;32
9610;33
9630;34
9651;33
9670;33
9691;35
9711;34
9732;35
9752;35
9773;35
9793;36
9814;36
9835;38
9856;37
9876;38
9896;38
9917;38
9937;39
9959;39
9979;39
10000;39
10021;39
