t (ms);d (cm)
24;201
54;201
83;201
113;201
143;201
174;201
203;201
234;201
264;201
294;201
324;201
354;201
385;201
414;201
445;201
475;201
505;201
535;201
566;201
595;201
625;201
656;201
686;201
716;201
746;201
777;201
806;201
837;201
867;201
897;201
927;201
957;201
988;201
1007;20
1027;19
1046;18
1065;17
1085;17
1104;16
1124;16
1142;15
1162;15
1181;13
1201;13
1219;13
1239;13
1258;12
1276;11
1296;11
1315;11
1334;10
1353;9
1372;9
1390;9
1409;8
1427;8
1445;7
1464;6
1482;6
1501;6
1519;6
1538;5
1555;5
1573;5
1592;5
1610;6
1629;6
1647;6
1666;7
1684;7
1702;8
1721;9
1739;11
1759;11
1778;12
1797;12
1816;13
1836;14
1855;15
1874;16
1893;16
1912;17
1932;17
1951;18
1971;18
1990;19
2011;19
2030;19
2050;19
2069;19
2088;19
2108;18
2127;18
2147;17
2166;16
2185;15
2204;14
2224;13
2243;12
2262;12
2281;10
2299;9
2318;7
2336;6
2355;6
2373;5
2392;5
2410;5
2427;5
2446;5
2464;5
2483;5
2501;6
2520;7
2538;9
2556;10
2576;11
2595;12
2614;13
2633;15
2653;15
2672;17
2692;18
2711;18
2731;19
2750;20
2769;22
2790;24
2809;23
2829;23
2849;24
2869;25
2888;24
2909;24
2928;24
2948;24
2968;23
2988;22
3007;21
3026;22
3046;20
3065;18
3085;17
3104;15
3124;15
3143;15
3163;12
3181;10
3201;8
3219;8
3237;8
3256;6
3274;5
3292;5
3310;4
3329;4
3347;4
3365;4
3383;5
3401;5
3420;6
3438;6
3457;7
3475;8
3493;9
3512;10
3531;11
3551;13
3570;14
3589;16
3608;16
3628;17
3647;19
3667;20
3687;20
3706;21
3726;22
3745;23
3766;24
3785;24
3806;26
3825;26
3846;27
3865;25
3885;25
3905;24
3924;24
3944;23
3964;23
3984;23
4003;24
4023;21
4043;20
4063;19
4082;17
4102;17
4121;19
4141;16
4159;14
4178;12
4198;11
4216;10
4236;8
4254;7
4273;7
4291;7
4310;7
4328;6
4345;6
4364;5
4382;5
4401;5
4419;10
4439;5
4456;5
4474;5
4493;6
4511;7
4530;8
4548;9
4567;10
4586;12
4605;13
4625;13
4643;14
4663;15
4682;18
4702;18
4721;19
4741;19
4761;20
4781;22
4800;22
4819;23
4840;23
4859;24
4879;24
4899;24
4919;25
4939;25
4959;25
4978;25
4999;25
5018;24
5038;23
5058;22
5078;21
5097;20
5116;20
5136;19
5155;17
5175;16
5194;15
5214;14
5233;14
5252;13
5271;11
5289;10
5309;9
5327;8
5346;7
5364;6
5383;6
5401;7
5420;7
5438;7
5456;6
5475;5
5493;6
5512;6
5529;7
5549;8
5567;9
5585;10
5604;13
5623;12
5643;13
5662;13
5681;14
5700;15
5720;16
5739;18
5758;18
5778;18
5797;19
5817;20
5837;21
5857;22
5876;22
5896;22
5916;24
5936;24
5955;24
5976;25
5995;24
6016;25
6035;25
6054;25
6075;24
6094;24
6125;202
6145;23
6165;22
6184;22
6204;20
6223;19
6243;18
6262;18
6282;17
6301;16
6321;16
6339;14
6359;13
6378;12
6397;11
6416;11
6435;10
6454;9
6472;9
6491;8
6509;8
6528;7
6546;6
6564;6
6583;6
6601;6
6620;5
6638;5
6656;5
6674;6
6692;6
6711;6
6729;7
6748;7
6766;8
6785;8
6803;9
6822;10
6841;11
6860;11
6879;12
6898;13
6918;13
6937;15
6957;16
6976;18
6995;19
7015;18
7034;19
7054;19
7073;20
7093;21
7112;22
7133;23
7152;23
7172;24
7192;25
7212;26
7232;31
7251;26
7272;26
7291;28
7312;27
7332;28
7352;29
7372;30
7393;30
7412;31
7433;31
7453;31
7474;32
7493;32
7514;33
7534;33
7555;33
7575;34
7596;34
7616;35
7636;35
7657;35
7677;36
7698;36
7718;36
7739;36
7759;37
7780;37
7800;37
7821;37
7841;37
7863;37
7883;37
7904;37
7924;37
7945;37
7965;37
7986;37
8006;37
8027;37
8048;37
8069;37
8089;37
8110;36
8130;35
8151;34
8171;34
8190;33
8211;33
8231;32
8252;31
8300;515
8321;26
8340;24
8360;23
8380;21
8399;20
8419;19
8438;18
8458;17
8477;16
8497;16
8516;13
8535;12
8554;11
8573;11
8592;10
8611;8
8630;8
8648;7
8667;7
8684;7
8702;6
8721;6
8739;5
8758;6
8776;5
8795;5
8813;6
8832;6
8850;6
8868;7
8887;7
8905;7
8924;8
8942;9
8961;9
8979;10
8998;11
9017;12
9036;13
9056;15
9075;16
9095;17
9114;18
9134;19
9153;19
9172;20
9192;21
9211;22
9232;23
9251;26
9272;26
9291;29
9312;27
9331;28
9352;28
9372;29
9392;29
9412;30
9433;31
9452;31
9473;32
9493;32
9513;33
9534;33
9554;33
9575;34
9595;34
9615;34
9635;35
9656;34
9676;34
9697;34
9717;34
9738;33
9758;33
9779;33
9799;32
9819;32
9839;31
9860;31
9880;30
9900;29
9920;29
9939;28
9960;28
9980;27
10000;27
