t(s);T (°C)
0,0;21,7
200,017;21,8
400,025;21,9
600,03;22,0
800,037;22,0
1000,043;22,1
1200,051;21,9
1400,059;22,1
1600,066;22,3
1800,071;21,9
2000,079;21,9
2200,086;21,9
2400,09;21,9
2600,097;21,9
2800,103;21,8
3000,108;21,7
3200,116;21,7
3400,121;21,6
3600,127;21,5
3800,134;21,4
4000,14;21,4
4200,146;21,3
4400,152;21,3
4600,157;21,3
4800,164;21,4
5000,17;21,4
5200,176;21,3
5400,182;21,3
5600,188;21,3
5800,194;21,2
6000,2;21,2
6200,207;21,1
6400,213;21,1
6600,218;21,1
6800,223;21,1
7000,229;21,1
7200,236;21,1
7400,24;21,0
7600,247;21,0
7800,253;21,0
8000,258;20,9
8200,266;20,9
8400,271;20,8
8600,277;20,7
8800,284;20,7
9000,289;20,7
9200,296;20,6
9400,302;20,6
9600,307;20,5
9800,314;20,5
10000,32;20,5
10200,328;20,5
10400,334;20,5
10600,339;20,5
10800,345;20,5
11000,35;20,5
11200,357;20,5
11400,362;20,6
11600,369;20,8
11800,375;20,8
12000,38;21,0
12200,388;20,9
12400,396;20,8
12600,402;20,5
12800,409;20,5
13000,414;20,5
13200,42;20,4
13400,427;20,2
13600,433;20,2
13800,438;20,1
14000,445;20,1
14200,451;19,9
14400,459;19,9
14600,465;19,9
14800,47;19,8
15000,477;19,7
15200,484;19,6
15400,489;19,6
15600,496;19,5
15800,503;19,4
16000,508;19,4
16200,515;19,4
16400,52;19,4
16600,526;19,3
16800,532;19,3
17000,538;19,2
17200,545;19,2
17400,551;19,1
17600,557;19,1
17800,563;19,1
18000,569;19,0
18200,575;19,0
18400,581;19,0
18600,587;18,9
18800,594;18,9
19000,6;18,9
19200,606;18,8
19400,612;18,8
19600,618;18,8
19800,623;18,8
20000,629;18,8
20200,637;18,8
20400,642;18,8
20600,647;18,7
20800,654;18,7
21000,659;18,7
21200,666;18,7
21400,67;18,7
21600,677;18,6
21800,683;18,6
22000,688;18,6
22200,696;18,6
22400,701;18,6
22600,706;18,5
22800,713;18,5
23000,719;18,5
23200,725;18,5
23400,73;18,5
23600,737;18,5
23800,742;18,4
24000,748;18,4
24200,754;18,4
24400,76;18,4
24600,766;18,3
24800,771;18,3
25000,777;18,3
25200,784;18,3
25400,789;18,3
25600,796;18,3
25800,801;18,3
26000,807;18,3
26200,813;18,2
26400,819;18,2
26600,825;18,2
26800,831;18,2
27000,836;18,2
27200,842;18,2
27400,848;18,2
27600,854;18,2
27800,859;18,2
28000,865;18,2
28200,871;18,2
28400,877;18,1
28600,883;18,1
28800,888;18,1
29000,895;18,1
29200,901;18,1
29400,907;18,1
29600,913;18,1
29800,918;18,1
30000,924;18,1
30200,931;18,1
30400,936;18,1
30600,942;18,1
30800,947;18,0
31000,954;18,0
31200,96;18,0
31400,965;18,0
31600,971;18,0
31800,977;18,0
32000,982;18,0
32200,989;18,0
